iter	Logloss
0	0.6896749384
1	0.6875018071
2	0.685377222
3	0.683505468
4	0.6822330234
5	0.6805582521
6	0.6781576774
7	0.6761212458
8	0.6744904969
9	0.6720014881
10	0.6690969079
11	0.6668866624
12	0.6641926913
13	0.6615551231
14	0.659192382
15	0.6577466609
16	0.6563329436
17	0.6537582592
18	0.6524762938
19	0.6513643691
20	0.6498160114
21	0.6490797057
22	0.6470142546
23	0.6461790993
24	0.6449740434
25	0.6433406204
26	0.6411737633
27	0.6406303452
28	0.6380392771
29	0.6368869775
30	0.6335693388
31	0.6323897071
32	0.6304560521
33	0.6283563779
34	0.6263997515
35	0.6257871635
36	0.6236472947
37	0.6219231827
38	0.6207893194
39	0.619197439
40	0.6182277142
41	0.6159704827
42	0.6140724285
43	0.611436777
44	0.6093395875
45	0.6078539876
46	0.6071792016
47	0.6053573571
48	0.6034252459
49	0.6025722844
50	0.6014229488
51	0.5997579511
52	0.598199427
53	0.5967578827
54	0.5949493095
55	0.5930399306
56	0.5928714715
57	0.5916158774
58	0.5905190166
59	0.5896410224
60	0.5878725048
61	0.586227164
62	0.5834366783
63	0.5822662534
64	0.5804275785
65	0.5791064706
66	0.5783010089
67	0.5757779617
68	0.5713342715
69	0.5691301124
70	0.5663094897
71	0.5642855608
72	0.5612195213
73	0.5581658081
74	0.556694694
75	0.5550195011
76	0.5532945074
77	0.5513937725
78	0.5495614192
79	0.5476649572
80	0.5456680234
81	0.5432114893
82	0.5420654583
83	0.5385464788
84	0.5366980946
85	0.5342500274
86	0.5330264374
87	0.5312150163
88	0.5292262909
89	0.5266384155
90	0.5257314606
91	0.5238609519
92	0.5218465793
93	0.5208385802
94	0.5195801491
95	0.5183014301
96	0.5168221588
97	0.5153670742
98	0.5135433674
99	0.5115680957
